date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:38	5029/5029	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202021%2017:18:38%20GMT	https://hicoder.in/robots.txt		(from )
22:48:38	67238/67238	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202021%2017:18:39%20GMT	https://hicoder.in/	F:/demo/sdad/hicoder.in/index.html	(from )
22:48:39	24762/24762	---MCZ	200	added ('OK')	text/html	date:Fri,%2009%20Jul%202021%2017:18:39%20GMT	https://hicoder.in/apple-touch-icon.png	F:/demo/sdad/hicoder.in/apple-touch-icon.html	(from https://hicoder.in/)
22:48:39	7990/7990	---M--	200	added ('OK')	image/png	etag:%221f36-60a9d1a0-238828;;;%22	https://hicoder.in/assets/images/fav.png	F:/demo/sdad/hicoder.in/assets/images/fav.png	(from https://hicoder.in/)
22:48:39	159470/159470	---M-Z	200	added ('OK')	text/css	etag:%2226eee-60a9d1a0-238776;gz%22	https://hicoder.in/assets/css/bootstrap.min.css	F:/demo/sdad/hicoder.in/assets/css/bootstrap.min.css	(from https://hicoder.in/)
22:48:39	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-60a9d1a0-238778;gz%22	https://hicoder.in/assets/css/font-awesome.min.css	F:/demo/sdad/hicoder.in/assets/css/font-awesome.min.css	(from https://hicoder.in/)
22:48:39	70824/70824	---M-Z	200	added ('OK')	text/css	etag:%22114a8-60a9d1a0-238775;gz%22	https://hicoder.in/assets/css/animate.css	F:/demo/sdad/hicoder.in/assets/css/animate.css	(from https://hicoder.in/)
22:48:39	4028/4028	---M-Z	200	added ('OK')	text/css	etag:%22fbc-60a9d1a0-23877c;gz%22	https://hicoder.in/assets/css/owl.carousel.css	F:/demo/sdad/hicoder.in/assets/css/owl.carousel.css	(from https://hicoder.in/)
22:48:40	1729/1729	---M-Z	200	added ('OK')	text/css	etag:%226c1-60a9d1a0-238781;gz%22	https://hicoder.in/assets/css/slick.css	F:/demo/sdad/hicoder.in/assets/css/slick.css	(from https://hicoder.in/)
22:48:40	5473/5473	---M-Z	200	added ('OK')	text/css	etag:%221561-60a9d1a0-23877b;gz%22	https://hicoder.in/assets/css/off-canvas.css	F:/demo/sdad/hicoder.in/assets/css/off-canvas.css	(from https://hicoder.in/)
